id,name,text,trans
0000000000000,星南,ん……いい風。,
0000000000000,星南,私が初星学園を卒業したら……,
0000000000000,星南,この素晴らしい景色も、\n気軽には見られなくなるわ。,
0000000000000,星南,いまのうちに堪能しておきましょう。,
0000000000000,{user},あなたのことだ。来年以降も、\n気軽にこの景色を堪能しているような\n気もします。,
0000000000000,星南,なかなか面白い予想ね。\n当たるかどうか試してみましょう。,
0000000000000,{user},さて……お気に入りの場所に\n移動したからには、,
0000000000000,{user},これから良い話を聞かせて\nくれるんでしょう？,
0000000000000,星南,面白い話かどうかは保証できないわ。,
0000000000000,星南,ただ、あなたには話しておきたいの。,
0000000000000,星南,私に大きな影響を与えた、\n『彼女』の言葉を。,
0000000000000,星南,十王星南を導いた、\n光り輝く道しるべを。,
0000000000000,星南,その日、引退ライブを行った彼女は、\n100プロに所属するトップアイドルで。,
0000000000000,星南,誰もが彼女を惜しんで涙していた。\n決して……明るい雰囲気で迎えた\nライブではなかった。,
0000000000000,星南,実を言うと、私自身、特にファンだった\nわけではなくて。\n直接話したこともない相手で……,
0000000000000,星南,あくまで勉強のために観賞したの。,
0000000000000,星南,そうしたら……開幕1曲目で、,
0000000000000,星南,『ガラクタロード』が、\n皆の涙を吹き飛ばした。,
0000000000000,星南,気を引き締めて学ぼうとしていた、\n私さえも笑顔にしてくれた。いいえ――,
0000000000000,星南,呆然と、陶然と……\n見惚れるばかりだったわね――……,
0000000000000,星南,そして、彼女のMC……,
0000000000000,星南,昨日のことのように\nハッキリと覚えている。,
0000000000000,星南,『あの日憧れた、彼女のように\nなりたくて、アイドルを目指しました』,
0000000000000,星南,『あのひとを夢中で追いかけて、\nここまできました』,
0000000000000,星南,『あのひとが引退した日。\n私たちにかけてくれた言葉を』,
0000000000000,星南,『今度は、私が』,
0000000000000,星南,『私を目指すアイドルたちへ』\n『私を追うあなたたちへ』,
0000000000000,星南,『この先へ進みなさい！』\n『これからは――――』,
0000000000000,星南,『あなたの時代なのだから！』,
0000000000000,星南,――目が合ったように感じたの。,
0000000000000,星南,胸が熱くなって……\n歌と、言葉と、心とで。,
0000000000000,星南,濃密なメッセージを\n受け取ったように感じた。,
0000000000000,星南,トップアイドルは、最後の最後に。,
0000000000000,星南,夢と憧れを、世界中に\n撒き散らして去っていった。,
0000000000000,星南,将来、私も……\nきっと同じようにするわ。,
0000000000000,星南,トップアイドルに憧れ、\nその背を追って走ってきた者が、\nまた新しい標となる。,
0000000000000,星南,連綿と続く流れの中で、\n私たちアイドルは、\n先へ先へと進んでいく。,
0000000000000,星南,私の終わりが、\nきっと誰かのはじまりになる。,
0000000000000,星南,そうなったなら……素敵でしょう？,
0000000000000,{user},いまから引退ライブの構想を\nしているとは……\nなんとも気が早い話です。,
0000000000000,{user},幸い、他に誰も聞いていません。\nリハーサルをしてみてはどうですか？,
0000000000000,星南,あら、いいわよ。じゃあ、そうね――,
0000000000000,星南,遥か未来のアイドルたちへ。,
0000000000000,星南,十王星南を標とし、\n進んできたあなたへ――……,
0000000000000,星南,私の先を目指しなさい！！,
info,adv_cidol-jsna-3-017_02.txt,,
译者,,,
