id,name,text,trans
0000000000000,__narration__,『H.I.F<r\=セレクション>選抜試験</r>』全日程が\n終了した。そして――――,
0000000000000,星南,私の負けね……,
0000000000000,星南,なんてふがいない結果。,
0000000000000,星南,あの子たちにも、ファンにも……\nあなたにも。,
0000000000000,星南,到底顔向けできないわ。,
0000000000000,星南,私は、いまの自分を\nトップアイドルだとは認めない。,
0000000000000,星南,やり直しましょう、プロデューサー。,
0000000000000,星南,這い上がる姿を、\n世界中にさらしましょう。,
0000000000000,星南,もう一度、あの高みへ……！,
0000000000000,星南,決して諦めない！　たとえ\n『<r\=プリマステラ>一番星</r>』でなくなろうと……,
0000000000000,星南,私はあなたの担当アイドル・\n十王星南なのだから！！！,
info,adv_pstory_003_jsna_selection-failure-01.txt,,
译者,,,
